x,y,z,pitch,yaw,roll
-91.5490875244141,-20.0316371917725,-0.149296030402184,-0.857017934322357,-92.2911071777344,0.023688757792115
-91.5538101196289,-20.1680011749268,-0.151009008288383,-0.849976003170013,-92.2579879760742,0.021336149424315
-91.5538101196289,-20.1680011749268,-0.151009008288383,-0.849976003170013,-92.2579879760742,0.021336149424315
-91.5538101196289,-20.1680011749268,-0.151009008288383,-0.849976003170013,-92.2579879760742,0.021336149424315
-91.5579147338867,-20.2946720123291,-0.152628764510155,-0.843016028404236,-92.2184143066406,0.019801713526249
-91.5579147338867,-20.2946720123291,-0.152628764510155,-0.843016028404236,-92.2184143066406,0.019801713526249
-91.5579147338867,-20.2946720123291,-0.152628764510155,-0.843016028404236,-92.2184143066406,0.019801713526249
-91.5625991821289,-20.4524974822998,-0.15473099052906,-0.83465588092804,-92.156120300293,0.018326753750444
-91.5625991821289,-20.4524974822998,-0.15473099052906,-0.83465588092804,-92.156120300293,0.018326753750444
-91.5625991821289,-20.4524974822998,-0.15473099052906,-0.83465588092804,-92.156120300293,0.018326753750444
-91.5659866333008,-20.5792331695557,-0.156385749578476,-0.828399419784546,-92.096076965332,0.017181532457471
-91.5659866333008,-20.5792331695557,-0.156385749578476,-0.828399419784546,-92.096076965332,0.017181532457471
-91.5659866333008,-20.5792331695557,-0.156385749578476,-0.828399419784546,-92.096076965332,0.017181532457471
-91.5659866333008,-20.5792331695557,-0.156385749578476,-0.828399419784546,-92.096076965332,0.017181532457471
-91.5687103271484,-20.6933879852295,-0.157841816544533,-0.823119699954987,-92.0327606201172,0.016025917604566
-91.5687103271484,-20.6933879852295,-0.157841816544533,-0.823119699954987,-92.0327606201172,0.016025917604566
-91.5710830688477,-20.8028259277344,-0.15924970805645,-0.818359076976776,-91.9658660888672,0.015411305241287
-91.5710830688477,-20.8028259277344,-0.15924970805645,-0.818359076976776,-91.9658660888672,0.015411305241287
-91.5710830688477,-20.8028259277344,-0.15924970805645,-0.818359076976776,-91.9658660888672,0.015411305241287
-91.5710830688477,-20.8028259277344,-0.15924970805645,-0.818359076976776,-91.9658660888672,0.015411305241287
-91.5733184814453,-20.9156131744385,-0.160739749670029,-0.813625752925873,-91.8951950073242,0.015683695673943
-91.5733184814453,-20.9156131744385,-0.160739749670029,-0.813625752925873,-91.8951950073242,0.015683695673943
-91.5733184814453,-20.9156131744385,-0.160739749670029,-0.813625752925873,-91.8951950073242,0.015683695673943
-91.5754547119141,-21.0315856933594,-0.162207871675491,-0.808988034725189,-91.8222045898438,0.016137877479196
-91.5754547119141,-21.0315856933594,-0.162207871675491,-0.808988034725189,-91.8222045898438,0.016137877479196
-91.5754547119141,-21.0315856933594,-0.162207871675491,-0.808988034725189,-91.8222045898438,0.016137877479196
-91.5773544311523,-21.1479454040527,-0.163724318146706,-0.804500639438629,-91.7442779541016,0.015679311007261
-91.5773544311523,-21.1479454040527,-0.163724318146706,-0.804500639438629,-91.7442779541016,0.015679311007261
-91.5773544311523,-21.1479454040527,-0.163724318146706,-0.804500639438629,-91.7442779541016,0.015679311007261
-91.5773544311523,-21.1479454040527,-0.163724318146706,-0.804500639438629,-91.7442779541016,0.015679311007261
-91.5786437988281,-21.242073059082,-0.164935201406479,-0.800962567329407,-91.6759567260742,0.014886572025716
-91.5786437988281,-21.242073059082,-0.164935201406479,-0.800962567329407,-91.6759567260742,0.014886572025716
-91.5786437988281,-21.242073059082,-0.164935201406479,-0.800962567329407,-91.6759567260742,0.014886572025716
-91.5796966552734,-21.3295497894287,-0.166045263409615,-0.797759234905243,-91.6103210449219,0.014542055316269
-91.5796966552734,-21.3295497894287,-0.166045263409615,-0.797759234905243,-91.6103210449219,0.014542055316269
-91.5796966552734,-21.3295497894287,-0.166045263409615,-0.797759234905243,-91.6103210449219,0.014542055316269
-91.5796966552734,-21.3295497894287,-0.166045263409615,-0.797759234905243,-91.6103210449219,0.014542055316269
-91.5806884765625,-21.4229469299316,-0.167220279574394,-0.794398784637451,-91.5398941040039,0.014500044286251
-91.5806884765625,-21.4229469299316,-0.167220279574394,-0.794398784637451,-91.5398941040039,0.014500044286251
-91.5806884765625,-21.4229469299316,-0.167220279574394,-0.794398784637451,-91.5398941040039,0.014500044286251
-91.5815811157227,-21.5157775878906,-0.168427348136902,-0.79107928276062,-91.4697875976563,0.014396502636373
-91.5815811157227,-21.5157775878906,-0.168427348136902,-0.79107928276062,-91.4697875976563,0.014396502636373
-91.5815811157227,-21.5157775878906,-0.168427348136902,-0.79107928276062,-91.4697875976563,0.014396502636373
-91.5821533203125,-21.5868911743164,-0.169321492314339,-0.790949523448944,-91.415885925293,0.01432141661644
-91.5821533203125,-21.5868911743164,-0.169321492314339,-0.790949523448944,-91.415885925293,0.01432141661644
-91.5821533203125,-21.5868911743164,-0.169321492314339,-0.790949523448944,-91.415885925293,0.01432141661644
-91.5821533203125,-21.5868911743164,-0.169321492314339,-0.790949523448944,-91.415885925293,0.01432141661644
-91.5827255249024,-21.6668910980225,-0.170343533158302,-0.783695876598358,-91.3549194335937,0.013734473846853
-91.5827255249024,-21.6668910980225,-0.170343533158302,-0.783695876598358,-91.3549194335937,0.013734473846853
-91.5827255249024,-21.6668910980225,-0.170343533158302,-0.783695876598358,-91.3549194335937,0.013734473846853
-91.5831985473633,-21.7442302703857,-0.171326726675034,-0.771367371082306,-91.2959747314453,0.012881997041404
-91.5831985473633,-21.7442302703857,-0.171326726675034,-0.771367371082306,-91.2959747314453,0.012881997041404
