x,y,z,pitch,yaw,roll
x,y,z,pitch,yaw,roll
-91.38233947753906,-13.26126480102539,-0.08031099289655685,-0.610441267490387,-80.96996307373047,0.11033502966165543
-91.34476470947266,-13.649778366088867,-0.08387243002653122,-0.6108647584915161,-82.10980224609375,0.14803220331668854
-91.32115936279297,-14.007905006408691,-0.08714818954467773,-0.6083307862281799,-83.3452377319336,0.18362516164779663
-91.30740356445312,-14.364241600036621,-0.09041040390729904,-0.5917948484420776,-84.65853881835938,0.20618321001529694
-91.30187225341797,-14.672308921813965,-0.09322507679462433,-0.577424168586731,-85.77867889404297,0.21095037460327148
-91.30196380615234,-15.037520408630371,-0.09659280627965927,-0.5652732253074646,-87.04361724853516,0.21417555212974548
-91.31135559082031,-15.46225643157959,-0.10055776685476303,-0.558163046836853,-88.47350311279297,0.22671443223953247
-91.32904815673828,-15.838069915771484,-0.10407301038503647,-0.555656373500824,-89.76834106445312,0.24879629909992218
-91.3585205078125,-16.24025535583496,-0.10783162713050842,-0.5550826191902161,-91.20658111572266,0.2746174931526184
-91.3952407836914,-16.615936279296875,-0.11137891560792923,-0.557766854763031,-92.55487060546875,0.28718945384025574
-91.43632507324219,-16.964950561523438,-0.11477609723806381,-0.565887987613678,-93.75634002685547,0.27909383177757263
-91.4759521484375,-17.26633644104004,-0.11780831962823868,-0.6137676239013672,-94.71261596679688,0.25242769718170166
-91.52352142333984,-17.605947494506836,-0.12140244990587234,-0.6871306300163269,-95.6167221069336,0.21929258108139038
-91.56502532958984,-17.90289878845215,-0.12467241287231445,-0.7461230158805847,-96.17143249511719,0.17595522105693817
-91.60096740722656,-18.17223358154297,-0.1278725564479828,-0.7981895208358765,-96.46758270263672,0.140431210398674
-91.63362884521484,-18.43804931640625,-0.13089609146118164,-0.8572023510932922,-96.56372833251953,0.10289420187473297
-91.6563949584961,-18.651334762573242,-0.13329331576824188,-0.9063045978546143,-96.46741485595703,0.0707123875617981
-91.67383575439453,-18.8520450592041,-0.13547837734222412,-0.951691210269928,-96.2159423828125,0.04567769914865494
-91.68440246582031,-19.012798309326172,-0.13727693259716034,-0.9831237196922302,-95.90103149414062,0.03541131317615509
-91.69109344482422,-19.151262283325195,-0.13875551521778107,-1.0045158863067627,-95.56529998779297,0.038487572222948074
-91.69476318359375,-19.260944366455078,-0.13995252549648285,-1.0196242332458496,-95.26253509521484,0.050067346543073654
-91.6966781616211,-19.34470558166504,-0.14091818034648895,-1.0279570817947388,-95.01531982421875,0.0667109563946724
-91.69749450683594,-19.38964080810547,-0.1414564996957779,-1.0397323369979858,-94.8725814819336,0.08630102872848511
-91.69758605957031,-19.393686294555664,-0.14146576821804047,-1.0664998292922974,-94.87042236328125,0.10370253026485443
-91.69761657714844,-19.393959045410156,-0.14146825671195984,-1.0221787691116333,-94.870361328125,0.10263880342245102
-91.69762420654297,-19.394428253173828,-0.14152741432189941,-0.9457967281341553,-94.87033081054688,0.09756287187337875
-91.6976318359375,-19.39479637145996,-0.14160023629665375,-0.8860803842544556,-94.87029266357422,0.09373291581869125
-91.69764709472656,-19.395071029663086,-0.1416338086128235,-0.8414246439933777,-94.87030029296875,0.09089235961437225
-91.69764709472656,-19.39530372619629,-0.14166390895843506,-0.8036810159683228,-94.8702621459961,0.08843065798282623
-91.69764709472656,-19.395755767822266,-0.14169076085090637,-0.7796045541763306,-94.86946868896484,0.08664131164550781
-91.6976547241211,-19.396808624267578,-0.141740083694458,-0.7607396245002747,-94.86701202392578,0.08514627069234848
-91.69766998291016,-19.398555755615234,-0.14177969098091125,-0.745815634727478,-94.86244201660156,0.08388489484786987
-91.69768524169922,-19.400455474853516,-0.14182309806346893,-0.7371139526367188,-94.85661315917969,0.08302795141935349
-91.69768524169922,-19.402576446533203,-0.14184381067752838,-0.7314448952674866,-94.84951782226562,0.08238198608160019
-91.69769287109375,-19.40508460998535,-0.1418292373418808,-0.7274219393730164,-94.84012603759766,0.0818064883351326
-91.69766235351562,-19.40717315673828,-0.1418970674276352,-0.7257348895072937,-94.83231353759766,0.08145119994878769
-91.69766235351562,-19.408620834350586,-0.14186784625053406,-0.7260763645172119,-94.82691192626953,0.08196105808019638
-91.69766998291016,-19.41020393371582,-0.14192990958690643,-0.7244234681129456,-94.82058715820312,0.08156855404376984
-91.69766998291016,-19.412147521972656,-0.14191541075706482,-0.7228047251701355,-94.81285858154297,0.08122191578149796
-91.69766235351562,-19.414241790771484,-0.14197500050067902,-0.7215889692306519,-94.80461883544922,0.08093975484371185
-91.69762420654297,-19.416908264160156,-0.14199323952198029,-0.7205780744552612,-94.79412841796875,0.08065244555473328
-91.69757843017578,-19.41999626159668,-0.14203721284866333,-0.7199087142944336,-94.78192138671875,0.08037541061639786
-91.69752502441406,-19.423221588134766,-0.14205175638198853,-0.7195125818252563,-94.76911163330078,0.08013683557510376
-91.69747924804688,-19.426910400390625,-0.1421031802892685,-0.7192667126655579,-94.75485229492188,0.07994098216295242
-91.69744110107422,-19.43058967590332,-0.14210908114910126,-0.7194511294364929,-94.74065399169922,0.08033882081508636
-91.6973876953125,-19.434892654418945,-0.14217683672904968,-0.719423770904541,-94.7241439819336,0.07998928427696228
-91.69737243652344,-19.43771743774414,-0.14217866957187653,-0.7228593826293945,-94.71387481689453,0.08059319853782654
-91.6973648071289,-19.439708709716797,-0.142203226685524,-0.7273877859115601,-94.70667266845703,0.08166880160570145
-91.69733428955078,-19.44165802001953,-0.14225824177265167,-0.7275722026824951,-94.69924926757812,0.0813845843076706
-91.69729614257812,-19.44441032409668,-0.1423097401857376,-0.724881112575531,-94.68878936767578,0.07998710870742798
-91.697265625,-19.4468994140625,-0.14236527681350708,-0.7235082387924194,-94.68051147460938,0.07937773317098618
-91.69722747802734,-19.44951629638672,-0.14241327345371246,-0.7230779528617859,-94.66259765625,0.07883107662200928
-91.69720458984375,-19.452369689941406,-0.1424136459827423,-0.7220807075500488,-94.65081024169922,0.07842149585485458
-91.69718170166016,-19.45579719543457,-0.14242716133594513,-0.720366358757019,-94.63603973388672,0.07765761762857437
-91.6971435546875,-19.460601806640625,-0.14248643815517426,-0.7168829441070557,-94.60887908935547,0.0756911039352417
-91.69712829589844,-19.468482971191406,-0.14260251820087433,-0.7107221484184265,-94.572998046875,0.07393265515565872
-91.69700622558594,-19.477758407592773,-0.14271008968353271,-0.7076143622398376,-94.53800201416016,0.07195276021957397
-91.69682312011719,-19.490644454956055,-0.14289246499538422,-0.7030859589576721,-94.462646484375,0.06867261976003647
-91.69657135009766,-19.50497055053711,-0.14304524660110474,-0.7001626491546631,-94.41476440429688,0.06593499332666397
-91.6962661743164,-19.521682739257812,-0.1432320922613144,-0.6982092261314392,-94.3460922241211,0.0640595331788063
-91.6959228515625,-19.54039192199707,-0.14345400035381317,-0.6973281502723694,-94.26315307617188,0.06208664923906326
-91.69550323486328,-19.561927795410156,-0.1437322348356247,-0.6980248093605042,-94.1796875,0.06015965715050697
-91.69493103027344,-19.585622787475586,-0.14402040839195251,-0.6982433795928955,-94.08257293701172,0.057007238268852234
-91.69416046142578,-19.615421295166016,-0.1444341391324997,-0.6962011456489563,-93.95427703857422,0.05266185104846954
-91.69316864013672,-19.65092658996582,-0.14481939375400543,-0.6906413435935974,-93.80803680419922,0.04753335937857628
-91.69205474853516,-19.68992042541504,-0.1453326940536499,-0.687895655632019,-93.65587615966797,0.04296058788895607
