brake,throttle,speed,time
0.9235566854476929,0.0,0.00037058571558171036,1667482106.902429
0.9235566854476929,0.0,0.00037058571558171036,1667482106.926825
0.9235566854476929,0.0,0.0012083097660870947,1667482106.9718664
0.9235566854476929,0.0,0.0012083097660870947,1667482106.9878263
0.9235566854476929,0.0,0.0011541791143476743,1667482107.0392525
0.9235566854476929,0.0,0.0015499602278346786,1667482107.082772
0.9235566854476929,0.0,0.0015499602278346786,1667482107.101904
0.9235566854476929,0.0,0.0015499602278346786,1667482107.1235528
0.9235566854476929,0.0,0.0004292125014033392,1667482107.1593125
0.9235566854476929,0.0,0.0004292125014033392,1667482107.1792512
0.9235566854476929,0.0,0.00013706567241487033,1667482107.2169187
0.9235566854476929,0.0,0.00013706567241487033,1667482107.242826
0.9235566854476929,0.0,0.00046202804541169276,1667482107.2899072
0.9235566854476929,0.0,0.00046202804541169276,1667482107.3035827
0.9235566854476929,0.0,0.0007667792870124689,1667482107.3427696
0.9235566854476929,0.0,0.0007667792870124689,1667482107.3595228
0.9235566854476929,0.0,0.0007667792870124689,1667482107.3768196
0.9346004724502563,0.0,0.0013599014625876944,1667482107.4320414
0.9346004724502563,0.0,0.0013599014625876944,1667482107.4461086
0.9749274253845215,0.0,0.000160251212619358,1667482107.4694085
0.9749274253845215,0.0,0.000160251212619358,1667482107.5043907
0.9749274253845215,0.0,0.000160251212619358,1667482107.5320024
0.9854033589363098,0.0,0.00035851276936068596,1667482107.5773134
0.9854033589363098,0.0,0.00035851276936068596,1667482107.6004558
0.9854033589363098,0.0,4.434966559849906e-05,1667482107.644598
0.9854033589363098,0.0,4.434966559849906e-05,1667482107.6593614
0.945519745349884,0.0,0.0003173606927784421,1667482107.681232
0.945519745349884,0.0,0.0003173606927784421,1667482107.7090485
0.945519745349884,0.0,0.0003173606927784421,1667482107.7315907
0.9346004724502563,0.0,0.0012838012284122377,1667482107.7727833
0.9428014159202576,0.0,0.0011640118287141285,1667482107.8012364
0.9428014159202576,0.0,0.0011640118287141285,1667482107.8360958
0.9428014159202576,0.0,0.0011640118287141285,1667482107.857793
